Date,JKM(USD/mmbtu),HH(USD/mmbtu),TTF(USD/mmbtu),Storage(TWh),LNG_sendout(GWh/d),corridor_BY,corridor_DE,corridor_DZ,corridor_LY,corridor_MA,corridor_NO,corridor_RU-Baltic,corridor_TR,corridor_UA,Berlin_HDD,London_HDD,Rome_HDD,Berlin_CDD,London_CDD,Rome_CDD,USD-EUR,VIX,Biomass,Cross border electricity trading,Fossil brown coal / lignite,Fossil coal-derived gas,Fossil gas,Fossil hard coal,Fossil oil,Fossil oil shale,Fossil peat,Geothermal,Hydro Run-of-River,Hydro pumped storage,Hydro pumped storage consumption,Hydro water reservoir,Load,Nuclear,Other renewables,Others,Renewable share of generation,Renewable share of load,Residual load,Solar,Waste,Wind offshore,Wind onshore,DE_price(EUR/MWh)
2023-11-22,16.489999771118164,2.8970000743865967,14.276888475529212,1121.5706,4077.9,92.327223,0.0,880.645287,120.770466,0.0,3983.076747,0.0,825.2679119999999,517.1736129999999,19.2,11.2,5.300000000000001,0.0,0.0,0.0,1.0918222665786743,13.84000015258789,8032.05,1717.3729166666665,26677.608333333334,1526.9208333333331,23861.57083333333,11461.316666666666,615.0895833333333,201.1458333333333,385.2083333333333,646.9708333333333,23522.07083333333,5217.741666666667,-4038.1125,16344.779166666667,162361.25833333333,72593.45833333333,448.5833333333333,3419.3229166666665,92.90833333333336,92.35833333333332,121270.59583333333,10734.666666666666,2556.0750000000003,7852.962500000001,31796.8375,108.31166666666668
2023-11-24,17.094999313354492,2.8550000190734863,14.913714778971189,1116.1641,4055.3,100.31761,0.0,966.92467,164.17187,0.0,3842.1550706,0.0,815.190294,519.317243,14.0,11.1,5.9,0.0,0.0,0.0,1.0906314849853516,14.130000114440918,7970.366666666666,997.8520833333332,16810.4375,1435.6666666666667,19005.439583333333,8476.245833333332,633.5041666666667,197.5583333333333,430.4625,655.5583333333333,23019.654166666664,4599.316666666667,-4963.391666666666,17182.920833333334,160400.10416666666,74092.24583333333,452.17083333333335,4395.76875,60.15208333333334,45.59583333333333,106064.28333333333,10964.620833333334,2596.8416666666667,11063.375,43321.80833333333,67.0625
2023-11-27,16.5049991607666,2.7939999103546143,14.103291691078384,1105.5639,4717.9,114.872495,0.0,1033.181991,142.144013,0.0,3914.8375049,0.0,881.259053,499.978096,18.3,10.2,9.2,0.0,0.0,0.0,1.0940439701080322,13.300000190734863,8562.429166666667,3677.289583333333,29659.4875,1518.3916666666669,28396.514583333334,12108.704166666668,668.8229166666666,411.6375,721.3083333333334,651.4625,23115.141666666663,6040.675,-3364.2791666666667,21586.5125,169368.92083333334,75121.2,447.1958333333334,3901.289583333333,61.16666666666666,44.99375,134443.14583333334,7259.741666666666,2621.85,8704.491666666667,26943.6625,113.61375
2023-11-28,16.420000076293945,2.7060000896453857,13.737854414551796,1099.9153,4723.1,114.752247,0.0,1051.04649,65.601806,0.0,3829.6405,0.0,870.705326,585.8283389999999,19.5,14.2,5.4,0.0,0.0,0.0,1.095842361450195,13.1899995803833,8478.554166666667,3103.370833333333,28947.666666666668,1459.1291666666666,31112.97234042553,13382.814893617022,792.1255319148936,323.2583333333333,554.1,643.1374999999999,23063.420833333334,7265.904166666667,-3788.2958333333336,19867.420833333334,172718.83333333334,75981.8875,445.7416666666666,4568.231914893618,22.517021276595745,19.91063829787234,137608.78333333333,5715.712500000001,2617.5083333333337,7868.429166666666,28920.48510638298,122.80333333333334
2023-11-29,16.2450008392334,2.803999900817871,13.01875460451972,1093.2389,4190.4,104.349184,0.0,1048.81507,109.548947,0.0,3934.3872861,0.0,834.872886,598.660167,19.2,16.7,9.0,0.0,0.0,0.0,1.100594401359558,12.550000190734863,8560.125,3444.1270833333333,28838.25,1429.5833333333333,33333.152083333334,13672.45625,793.7104166666667,546.0541666666667,745.4083333333333,644.8625000000001,23320.05,6483.466666666667,-3575.1666666666665,20589.266666666663,180333.67173913048,73866.72916666667,451.44166666666666,4166.587500000001,31.8,23.85869565217392,145977.69130434783,7472.695833333334,2627.6208333333334,4584.845833333334,26901.564583333336,140.28791666666666
2023-11-30,16.135000228881836,2.802000045776367,13.537333342176323,1086.7034,4220.7,98.590899,0.0,1056.566256,76.750463,0.0,4121.5473934,0.0,815.477015,653.731142,22.2,17.9,3.6,0.0,0.0,0.0,1.0973695516586304,13.140000343322754,8628.683333333332,2857.9875,29464.24583333333,1395.8208333333332,36942.76382978723,14866.774468085106,829.736170212766,592.4416666666667,785.2666666666668,635.2125,24229.67916666667,7655.783333333333,-4244.2375,23735.7625,171441.79791666666,73860.81666666667,458.0291666666667,3839.834042553192,37.00851063829787,28.51276595744681,149911.45208333334,4805.820833333333,2640.0583333333334,2708.204166666667,18151.48085106383,168.84625
2023-12-01,16.25,2.813999891281128,13.88514113641614,1080.5421,4055.0,91.469186,0.0,993.996694,65.895833,0.0,4084.0711063,0.0,779.861867,665.7040410000001,23.8,18.1,0.6999999999999993,0.0,0.0,0.0,1.089205980300903,13.449999809265137,8753.550000000001,3380.335416666667,30143.733333333334,1390.7666666666669,35414.895744680856,14767.61914893617,832.7382978723404,520.9833333333333,732.5166666666668,645.2416666666667,24748.77083333333,7065.5125,-4319.283333333334,22748.2125,169561.17500000002,74237.79583333334,458.7416666666666,4127.695744680851,23.193617021276594,18.26170212765957,146881.06666666668,5163.066666666667,2619.554166666667,3375.4083333333333,18802.587234042552,156.32583333333335
2023-12-04,16.049999237060547,2.694000005722046,12.797720242644028,1063.3818,4330.4,103.96083,0.0,958.289428,109.482051,0.0,4089.1037966,0.0,862.270111,625.841264,21.0,11.6,10.0,0.0,0.0,0.0,1.088814616203308,13.260000228881836,8787.041666666666,1742.26875,30427.891666666663,1402.8208333333332,31678.636170212765,12918.11489361702,664.4212765957446,632.0875,833.65,641.6708333333333,24953.629166666666,5599.741666666666,-4168.125,24594.9625,179325.68723404256,75028.63333333333,453.7083333333333,4628.86170212766,69.57872340425531,51.02173913043478,142904.48510638298,5051.133333333333,2528.2875,9882.870833333332,28806.33191489362,111.6325
2023-12-05,16.059999465942383,2.7100000381469727,12.11243403445354,1056.7791,4581.4,92.875374,0.0,999.517636,76.625056,0.0,3993.4023951,0.0,893.522488,649.537157,19.7,12.7,7.5,0.0,0.0,0.0,1.0837758779525757,13.600000381469728,8774.625,2189.927083333333,29324.5875,1261.0375,34858.86041666667,12280.204166666668,764.4166666666666,650.9125,850.0875,616.1166666666667,24987.379166666666,7274.025000000001,-3537.1375000000003,25242.6875,180454.2978723404,76406.04583333332,452.2125,4319.635416666667,54.208333333333336,39.96808510638298,149048.7595744681,4715.558333333333,2459.05,10321.3625,23233.80416666667,114.56416666666668
2023-12-06,16.0049991607666,2.569000005722046,12.43643161144868,1050.1022,4241.0,99.467182,0.0,1003.239632,65.740731,0.0,4072.3618013,0.0,910.153747,628.527427,18.0,15.6,10.4,0.0,0.0,0.0,1.0793657302856443,13.3100004196167,8941.779166666665,2889.289583333333,30213.716666666664,1272.4041666666667,37557.5,13106.714583333334,817.4562500000001,625.5166666666667,801.7291666666666,634.9041666666667,25500.3875,8734.104166666666,-2364.4166666666665,25348.283333333336,182285.05217391305,77171.18333333333,453.85,4524.235416666666,85.53333333333335,81.03260869565217,160899.2739130435,5759.004166666667,2531.225,5768.133333333334,14786.579166666665,129.71666666666667
