Date,JKM(USD/mmbtu),HH(USD/mmbtu),TTF(USD/mmbtu),Storage(TWh),LNG_sendout(GWh/d),corridor_BY,corridor_DZ,corridor_LY,corridor_MA,corridor_NO,corridor_RU-Baltic,corridor_TR,corridor_UA,point_Almería,point_Dornum / NETRA (OGE),point_Dunkerque,point_Easington,point_Emden (EPT1) (GTS),point_Emden (EPT1) (GUD),point_Emden (EPT1) (OGE),point_GCP GAZ-SYSTEM/UA TSO,point_Gela,point_Imatra,point_Isaccea (RO) - Orlovka (UA) II,point_Kipi (TR) / Kipi (GR),point_Kipoi,point_Kotlovka,point_Luhamaa,point_Mazara del Vallo,point_Narva,point_St. Fergus,point_Strandzha 2 (BG) / Malkoclar (TR),point_Tarifa,point_Tieterowka,point_Uzhgorod (UA) - Velké Kapušany (SK),point_VIP Bereg (HU) / VIP Bereg (UA),point_VIP Mediesu Aurit - Isaccea (RO-UA),point_Värska,point_Wysokoje,point_Zeebrugge ZPT,point_Uzhhorod (UA) - Velké Kapušany (SK),Berlin_HDD,London_HDD,Rome_HDD,Berlin_CDD,London_CDD,Rome_CDD,USD-EUR,VIX,Battery,Battery Consumption,Biomass,Cross border electricity trading,Fossil brown coal / lignite,Fossil coal-derived gas,Fossil gas,Fossil hard coal,Fossil oil,Fossil oil shale,Fossil peat,Geothermal,Hydro Run-of-River,Hydro pumped storage,Hydro pumped storage consumption,Hydro water reservoir,Load,Nuclear,Other renewables,Others,Renewable share of generation,Renewable share of load,Residual load,Solar,Waste,Wind offshore,Wind onshore,DE_price(EUR/MWh),IT_price(EUR/MWh)
2021-04-05,6.925000190734863,2.510999917984009,6.611833606388291,350.3698,3025.1,202.681452,871.8166510000001,43.848792,201.582592,3946.082319,71.973952788,525.063852,1209.997499,212.870747,696.4937835,538.179128,818.475927,552.266726,249.001465,124.8624445,118.750443,43.848792,36.734887,0.0,12.011738,174.41967,97.538077,31.089275,658.945904,0.0,492.480995,338.632444,201.582592,2.621618,832.156056,259.091,0.0,4.149790788,102.521757,474.32185,,14.1,12.6,6.300000000000001,0.0,0.0,0.0,1.176816701889038,18.709999084472656,,,5952.90625,-1867.85625,11058.7,769.8958333333334,18416.408333333333,5276.647916666666,827.8479166666666,15.5625,323.4125,672.7041666666667,10309.35625,1456.1583333333335,-6469.966666666667,10999.066666666666,160750.13749999998,41091.88541666666,495.4875,4472.985416666666,88.70833333333333,83.56875000000001,99984.58333333331,10471.879166666668,2437.7166666666667,10766.545833333334,39527.12083333333,-15.390416666666669,59.48208333333333
2021-04-06,6.96999979019165,2.4560000896453857,6.85165697733467,348.4116,3167.0,195.694656,785.248313,43.941165,241.091244,3968.1181372,78.923863745,535.5278450000001,1240.804526,126.167357,686.1998463,494.136578,857.085073,510.1267022,260.729032,151.52479169999998,118.951838,43.941165,46.850507,0.0,15.017539,173.960589,90.097868,27.91041,659.080956,0.0,540.146978,346.549717,241.091244,2.940669,832.922688,288.93,0.0,4.162946745,102.656119,468.169136,,15.9,15.3,5.9,0.0,0.0,0.0,1.1818934679031372,17.329999923706055,,,6453.585416666666,1621.8291666666669,18641.341666666667,789.65,29095.45625,7395.779166666667,953.05625,22.175,466.8375,667.4708333333333,11088.164583333331,3410.78125,-3498.1416666666664,16909.579166666666,194609.5583333333,43036.51666666667,498.7166666666667,4781.379166666667,78.74166666666666,68.52916666666667,133373.71041666667,10470.345833333333,2479.9666666666667,11932.289583333331,38833.21875,38.431666666666665,56.17291666666667
2021-04-07,6.980000019073486,2.5199999809265137,6.711444870287297,345.25,3358.3,206.622553,658.23019,44.038721,297.32763,3948.5923204,87.347020042,547.56526,1207.844765,0.0,707.0445884,395.060866,870.198748,393.2762292,312.706777,178.3625258,117.769771,44.038721,52.222046,0.0,12.010619,174.679524,101.481047,30.961884,658.23019,0.0,656.181697,360.875117,297.32763,2.572761,837.417994,252.657,0.0,4.163090042,102.568745,435.760889,,15.4,15.5,9.7,0.0,0.0,0.0,1.1874228715896606,17.639999389648438,,,7537.014583333334,2497.4791666666665,22125.05416666667,805.7375000000001,40825.37083333333,8663.389583333334,992.8354166666668,236.6291666666667,478.8875,673.6625,11274.952083333332,2680.952083333333,-2814.633333333333,18911.045833333334,200238.2770833333,43264.10416666666,509.525,4947.210416666667,58.0125,53.00833333333333,149678.02083333334,9078.347916666668,2417.775,8348.777083333332,33133.14166666667,49.403333333333336,67.78625
2021-04-08,6.985000133514404,2.5220000743865967,6.60846696649935,342.483,3304.4,205.54966,780.0524800000001,44.013464,259.204226,3823.4079333,91.254550211,555.434741,1228.075816,121.008552,680.7281915,471.961824,834.727947,406.793597,305.132228,163.23599380000002,117.787142,44.013464,51.636789,0.0,19.974919,177.686436,99.770366,35.389761,659.043928,0.0,516.385977,357.773386,259.204226,3.02617,830.919674,279.369,0.0,4.228000211,102.753124,444.442175,,14.1,11.6,10.8,0.0,0.0,0.0,1.1873664855957031,17.559999465942383,,,7489.116666666666,795.8791666666666,22940.716666666664,803.0749999999999,39710.36041666667,9660.002083333333,933.2833333333332,215.7625,482.57916666666665,667.8125,11143.4125,2372.0604166666667,-2465.5875,20455.654166666667,192687.99791666667,42422.145833333336,510.2791666666667,4621.162499999999,68.60833333333333,70.8125,144037.50625,10163.870833333332,2568.333333333333,8345.852083333333,30140.766666666663,57.747083333333336,66.93416666666667
2021-04-09,6.985000133514404,2.526000022888184,6.614392705086208,340.7722,3244.5,220.3851,919.171216,54.902096,246.760281,3774.4328985,81.23913679399999,558.569652,1204.276378,255.695685,666.9658231000001,225.61635,860.152585,425.4703926,318.869701,158.2124578,117.458296,54.902096,38.582941,0.0,23.061305,178.38663,114.681778,38.489816,663.475531,0.0,771.565726,357.121717,246.760281,2.980086,831.779082,255.039,0.0,4.166379794,102.723236,347.579863,,11.5,10.1,9.1,0.0,0.0,0.0,1.1915684938430786,17.280000686645508,,,7039.614583333333,1609.50625,21554.35,769.5124999999999,42942.83125,9248.589583333332,1012.125,5.2625,459.6125,670.1791666666667,10912.322916666666,1996.6229166666665,-2762.0625,18588.579166666663,192337.54166666663,42531.53958333333,508.51666666666665,4568.297916666666,53.27291666666667,48.08125,149143.81875,11222.1375,2568.7541666666666,5167.120833333333,26804.46875,55.73083333333333,69.24125
2021-04-12,7.005000114440918,2.561000108718872,6.853606561208392,337.5356,2845.9,159.032445,880.581355,54.933101,246.655515,3612.9365739,89.945735402,504.092207,1191.394302,221.930788,636.8953778,404.704548,819.474396,344.1319605,271.321985,150.8461466,118.311643,54.933101,34.843883,0.0,9.011828,171.61584,54.553644,50.870044,658.650567,0.0,575.180396,323.464539,246.655515,2.091907,821.350659,251.732,0.0,4.231808402,102.386894,410.381764,,13.0,14.7,5.4,0.0,0.0,0.0,1.1900511980056765,17.610000610351562,,,7037.208333333333,2237.3250000000003,25798.27083333333,659.0500000000001,47718.11666666667,11330.55,1139.20625,158.09583333333333,428.4708333333333,647.3583333333333,11362.064583333333,2721.775,-2222.508333333333,19634.325,191796.84166666667,42913.84583333333,488.8666666666666,4492.2,39.475,36.833333333333336,159681.12916666668,9706.766666666666,2485.070833333333,3783.689583333333,18625.266666666663,62.98666666666667,70.46833333333333
2021-04-13,7.014999866485596,2.61899995803833,6.812884493758105,334.1632,3077.5,150.829723,886.0192490000001,32.954148,258.272967,3501.792114,106.221407044,515.246985,1218.591736,227.298308,565.3096679,435.117269,872.251748,255.1602491,233.285929,145.58917,119.203742,32.954148,38.620245,0.0,12.002349,176.914889,45.379747,63.336719,658.720941,0.0,614.388295,326.329747,258.272967,2.723147,836.418994,262.969,0.0,4.264443044,102.726829,380.689786,,13.8,13.1,6.5,0.0,0.0,0.0,1.1914690732955933,18.61000061035156,,,7021.879166666667,1996.4,25418.58333333333,681.5625,51243.14791666667,12584.125,1047.40625,297.4208333333333,452.00416666666666,651.8249999999999,11380.04375,2092.9104166666666,-2738.4041666666667,20302.729166666668,194785.50833333333,43436.17916666667,493.82916666666665,4425.679166666667,34.177083333333336,32.29375,164025.53958333333,10797.245833333332,2604.0125000000003,2767.852083333333,17194.875,57.49625,58.1
2021-04-14,7.014999866485596,2.618000030517578,6.89500406857045,331.0085,3226.7,155.476363,885.324434,32.906399,253.674877,3575.4519254,110.129247432,523.783347,1259.738701,226.61595,612.8967959,467.524592,868.359457,296.995097,295.592702,137.6822035,118.349831,32.906399,40.799814,0.0,14.971699,177.921642,49.68267,63.145664,658.708484,0.0,479.552359,330.890006,253.674877,3.118276,832.83416,308.55471,0.0,6.183769432,102.675417,416.848719,,14.0,12.0,8.5,0.0,0.0,0.0,1.1954143047332764,18.309999465942383,,,7154.908333333333,2450.772916666667,25982.220833333336,799.5875,51627.05833333334,13599.589583333334,1072.7395833333333,349.7583333333334,487.7708333333333,664.1041666666666,10917.439583333333,2013.3208333333328,-2322.333333333333,18965.57083333333,193301.46875,43479.0,494.7833333333333,4349.056250000001,34.550000000000004,32.697916666666664,165161.30000000002,10778.560416666667,2569.1833333333334,2160.570833333333,15201.041666666666,70.16875,74.99166666666666
2021-04-15,7.017000198364258,2.657999992370605,7.117183639649993,328.3099,2952.4,194.116298,910.853526,65.904271,294.580417,3411.1770619,107.352702727,545.7367879999999,1257.685686,254.525939,653.0903252,421.445915,863.239548,283.1867625,293.327125,140.6013712,118.270254,65.904271,42.718133,0.0,23.006323,178.050859,88.712316,58.20732,656.327587,0.0,362.03744,344.679606,294.580417,2.923927,831.827432,307.588,0.0,6.427249727,102.480055,394.248575,,14.5,13.2,7.6,0.0,0.0,0.0,1.1986095905303955,19.479999542236328,,,7083.34375,2357.8791666666666,26402.3125,765.8458333333333,51111.49375,12020.389583333332,973.6145833333334,316.85,465.3958333333333,662.4333333333333,10592.125,1900.3604166666669,-2420.6833333333334,18828.579166666663,193279.5833333333,43505.972916666666,503.0416666666667,4083.8333333333335,39.302083333333336,37.3125,162298.88958333334,10776.114583333334,2584.3708333333334,2653.327083333333,17551.254166666666,66.3625,74.42
2021-04-16,8.244999885559082,2.680000066757202,7.206907615233329,326.7471,3029.4,189.999634,903.708906,120.559677,233.908911,3470.5147129,103.001447339,552.835512,1262.405755,244.489085,642.2428107000001,381.280674,858.526975,353.6378517,288.843739,146.7374805,117.380705,120.559677,33.919612,0.0,23.044527,180.260099,85.02166,62.626577,659.219821,0.0,382.941821,349.530886,233.908911,2.720179,831.89105,313.134,0.0,6.455258338999999,102.257795,416.303361,,12.1,13.1,7.699999999999999,0.0,0.0,0.0,1.1971746683120728,19.14999961853028,,,7419.985416666666,3066.6229166666667,25535.35,783.525,46331.35208333333,11733.266666666668,920.9,244.47916666666663,424.5416666666667,664.1958333333333,10266.433333333332,1823.31875,-1948.0125,18382.475,191790.58125,43686.075,513.75,4350.28125,41.53958333333333,37.61875,158963.52708333332,10930.88125,2567.0416666666665,2498.2729166666663,19397.9,63.727916666666665,73.92791666666666
2021-04-19,8.664999961853027,2.749000072479248,7.34584933157108,326.4643,3201.3,193.717294,899.859197,137.120254,289.004505,3502.2550337,81.856067857,623.161491,1268.221993,243.078141,646.1703657,418.589758,791.199509,485.2359333,251.768887,132.2936277,117.311366,137.120254,25.56084,0.0,22.971424,252.679234,89.31063,52.272658,656.781056,0.0,338.540111,347.510833,289.004505,2.087635,832.814627,318.096,0.0,4.022569857,102.319029,438.456842,,8.1,9.5,8.5,0.0,0.0,0.0,1.1969454288482666,18.38999938964844,,,6967.591666666667,2105.5916666666667,27856.966666666664,816.1625,53123.86875,12483.304166666669,783.2270833333333,309.24583333333334,397.8083333333333,662.1,9712.75,2100.7875,-2405.983333333333,17866.495833333334,182846.78958333333,42357.42291666667,503.7,4223.741666666667,35.74166666666667,35.47291666666667,161206.64166666666,11208.502083333333,2549.0125000000003,1126.8833333333334,9304.764583333334,75.92916666666666,77.83958333333334
2021-04-20,8.649999618530273,2.726999998092652,7.436519642028905,326.4169,3187.4,180.267444,891.393107,5.869421,246.830126,3484.0337423,86.578981371,627.134545,1210.362624,242.438131,642.6714274,383.739156,827.981181,432.9299697,282.134009,146.0200612,116.647949,5.869421,27.488663,0.0,23.000449,259.299799,75.732844,54.860963,648.954976,0.0,316.048069,344.834297,246.830126,2.044155,832.915675,260.799,0.0,4.2293553710000005,102.490445,452.509869,,8.5,8.7,7.9,0.0,0.0,0.0,1.204529047012329,16.690000534057617,,,7188.108333333334,1552.1791666666668,27245.045833333334,824.3041666666667,54163.52291666667,12434.758333333331,883.4916666666667,382.54583333333335,400.4875,655.3625000000001,9559.029166666667,1798.4729166666666,-2232.516666666667,16088.004166666666,182270.5895833333,42649.15416666667,503.0583333333333,4445.047916666666,34.081250000000004,37.65416666666666,160577.94583333333,12917.083333333334,2595.383333333333,608.2458333333333,8167.329166666666,75.87916666666666,72.14291666666666
2021-04-21,8.550000190734863,2.691999912261963,7.444425644537234,327.1148,2913.6,160.401057,900.10006,154.334418,258.238045,3476.0150088,75.981783763,627.88909,1204.620914,242.621484,670.7515971,458.469113,693.422858,453.6691864,236.624441,186.9601823,116.167217,154.334418,20.133948,0.0,23.00127,272.882853,55.448005,51.710342,657.478576,0.0,328.424567,332.004967,258.238045,2.035938,833.223697,255.23,0.0,4.137493763,102.917114,447.693064,,8.7,9.1,6.699999999999999,0.0,0.0,0.0,1.2032392024993896,19.65999984741211,,,7095.083333333333,369.8083333333333,25121.470833333336,832.5666666666666,45744.06458333333,10362.325,880.3229166666666,317.725,376.8333333333333,662.2375000000001,9384.46875,1515.6770833333333,-1848.125,15677.3,183066.01041666663,42347.4625,502.2708333333333,4550.952083333334,46.69791666666666,44.71875,148057.27291666667,12472.391666666668,2664.141666666667,6107.477083333332,16428.891666666666,58.36291666666667,75.00083333333333
2021-04-22,8.550000190734863,2.749000072479248,7.539470630561913,327.8492,3189.3,156.798608,905.195679,153.82173,259.099459,3461.4140009,67.997186382,627.2243910000001,1205.151167,242.542844,608.856736,465.754526,695.962631,564.6038431000001,223.895094,153.05077780000002,117.210752,153.82173,24.614819,0.0,22.991119,255.508139,51.770198,39.331958,662.652835,0.0,310.46279,348.725133,259.099459,2.440171,832.898415,255.042,0.0,4.050409382,102.588239,438.827603,,11.2,11.0,5.6,0.0,0.0,0.0,1.2037750482559204,21.84000015258789,,,6834.989583333333,380.5625,20996.1875,818.3874999999999,45181.36041666666,9508.270833333334,1018.4833333333332,136.4,411.5916666666667,659.6958333333333,9403.172916666666,1363.3333333333333,-2565.8125,14975.5625,185027.16875,42002.75,499.54583333333335,4182.039583333333,43.99166666666667,40.7875,143957.0875,13791.508333333331,2592.7458333333334,3968.835416666667,23309.7375,47.21875,73.52208333333333
2021-04-23,8.199999809265137,2.7300000190734863,7.0584918290951135,328.7841,2840.3,222.029779,906.766373,109.282874,247.679899,3470.0681098,59.793404893,635.379395,1211.717088,242.738949,632.2011682000001,473.917233,743.848508,435.0660891,241.563385,169.9318735,117.654933,109.282874,20.326087,0.0,23.000611,256.676262,117.181815,35.420003,664.027424,0.0,314.160981,355.702522,247.679899,2.442834,833.484155,260.578,0.0,4.047314893,102.40513,459.378872,,10.7,10.2,4.4,0.0,0.0,0.0,1.2014753818511963,27.59000015258789,,,6155.291666666667,1639.5083333333332,21100.6875,818.9791666666666,41426.32916666667,9286.525,921.60625,163.37083333333334,449.6541666666667,665.7166666666667,9356.804166666669,1549.3708333333334,-3008.4500000000003,12776.166666666666,180367.8625,41865.75625,502.2791666666667,4343.59375,42.63125,38.71666666666667,139118.07291666666,14686.966666666667,2617.2833333333333,2127.0895833333334,24435.720833333336,62.062916666666666,70.66416666666667
2021-04-26,8.25,2.789999961853028,7.0866659405921855,335.1666,2987.9,280.940181,903.507319,131.497324,256.678187,3435.641746748,92.42505927,634.3916629999999,1213.590093,242.312008,717.9213393,417.339809,798.679093,496.9345205,272.572607,0.038610948,119.308011,131.497324,29.468168,0.0,23.008901,277.340854,175.432176,58.888277,661.195311,0.0,269.874773,334.041908,256.678187,2.913987,833.475082,260.807,0.0,4.06861427,102.594018,462.280994,,14.0,10.7,3.2,0.0,0.0,0.0,1.2089852094650269,23.1299991607666,,,6077.6875,2562.9354166666667,24366.3125,815.7916666666666,42504.60416666666,9833.75625,968.5395833333332,401.94166666666666,481.6333333333334,668.6791666666667,10023.658333333333,2142.335416666667,-2059.6,16348.375,179629.35416666666,42755.2125,494.14166666666665,4714.802083333333,43.12708333333333,39.22916666666666,149044.40833333333,13769.620833333334,2571.7375,2360.8125,14454.510416666666,62.00666666666667,70.94375000000001
2021-04-27,8.600000381469727,2.872999906539917,7.579372697951332,336.0143,2754.1,281.381666,901.837506,131.389669,266.072259,3422.4350809,93.185464896,643.990895,1205.944778,242.171121,694.6051398,466.776175,640.680362,468.6147203,229.808124,178.84878980000002,117.934589,131.389669,32.867465,0.0,23.012182,276.392674,175.352546,56.201592,659.666385,0.0,279.362167,344.586039,266.072259,3.040516,832.544189,255.466,0.0,4.116407896,102.988604,463.739603,,12.3,9.9,2.5,0.0,0.0,0.0,1.2081671953201294,18.809999465942383,,,7298.114583333333,3164.1687500000003,24649.641666666663,787.5625,43746.91666666666,9778.03125,985.20625,552.1208333333333,609.0333333333333,666.3000000000001,10430.652083333332,2041.0208333333333,-2179.508333333333,16368.833333333334,182077.04375,42288.04583333333,493.7125,5079.847916666667,45.98541666666667,41.95,151764.26249999998,12901.50625,2580.945833333333,2457.49375,14953.785416666666,59.727916666666665,75.39791666666666
2021-04-28,8.600000381469727,2.924999952316284,7.637940501276455,337.1018,2655.1,265.010142,901.90779,109.57069,262.626602,3567.486053,97.732724993,632.974419,1193.310755,242.318467,660.3024548,457.848497,838.157922,467.0049466,195.619332,186.0362996,118.407915,109.57069,37.113127,0.0,11.778293,283.28394,159.683911,56.460708,659.589323,0.0,308.859687,337.912186,262.626602,2.5952,822.32684,252.576,0.0,4.158889993,102.731031,453.656914,,8.6,10.0,2.1,0.0,0.0,0.0,1.2090305089950562,19.71999931335449,,,6603.958333333333,3683.9270833333335,24834.85,834.4499999999999,42309.26041666666,9712.264583333334,1069.8083333333334,535.6208333333333,646.9375,661.2708333333334,10576.16875,1587.6645833333332,-2199.9708333333333,16582.3125,182982.72083333333,42130.76458333333,506.0208333333333,5113.041666666667,50.67291666666667,45.28125,150310.27916666667,11953.266666666668,2547.1916666666666,6140.349999999999,14578.83125,61.51791666666667,71.50583333333334
2021-04-29,8.800000190734863,2.9110000133514404,8.002879995533897,338.1295,2859.6,256.846702,899.643982,140.693198,248.913817,3558.591059482,106.668178098,629.6451860000001,1211.424154,242.413006,684.8757442000001,425.254411,872.953023,457.4195895,202.89109,0.179682782,115.182167,140.693198,33.647536,0.0,9.153822,283.338697,151.91068,68.809712,657.230976,0.0,462.058777,337.152667,248.913817,2.31819,843.639987,252.602,0.0,4.210930098,102.617832,452.958742,,7.0,10.7,2.3000000000000007,0.0,0.0,0.0,1.213592290878296,21.34000015258789,,,7366.78125,3462.183333333333,25733.783333333336,796.525,44383.26666666666,9707.45625,1092.48125,524.0749999999999,638.8166666666667,668.4416666666667,11047.78125,1972.76875,-2276.983333333333,17067.899999999998,184766.16875,41848.90833333333,507.9,4604.03125,45.36666666666667,41.42083333333333,153298.77916666667,9028.664583333331,2624.425,5584.075,16854.647916666665,59.72083333333333,74.29625
