date,corridor_ES,point_Tarifa
2023-12-20,26.182793,26.182793
2023-12-21,25.894953,25.894953
2023-12-22,25.695919,25.695919
2023-12-23,26.040567,26.040567
2023-12-24,25.988707,25.988707
2023-12-25,26.258504,26.258504
2023-12-26,26.188404,26.188404
2023-12-27,24.537457,24.537457
2023-12-28,25.968534,25.968534
2023-12-29,25.706641,25.706641
2023-12-30,25.852534,25.852534
2023-12-31,25.825271,25.825271
