date,corridor_ES,point_Tarifa
2025-11-10,28.820362,28.820362
2025-11-11,29.341169,29.341169
2025-11-12,28.08958,28.08958
2025-11-13,28.92606,28.92606
2025-11-14,27.00208,27.00208
2025-11-15,28.526154,28.526154
2025-11-16,28.024427,28.024427
2025-11-17,27.96102,27.96102
2025-11-18,28.397408,28.397408
2025-11-19,28.747957,28.747957
2025-11-20,29.181248,29.181248
2025-11-21,29.329505,29.329505
2025-11-22,24.423494,24.423494
2025-11-23,28.306889,28.306889
2025-11-24,27.68283,27.68283
2025-11-25,30.961454,30.961454
2025-11-26,25.759734,25.759734
2025-11-27,28.388654,28.388654
2025-11-28,27.348019,27.348019
2025-11-29,28.345746,28.345746
2025-11-30,27.791496,27.791496
2025-12-01,23.885308,23.885308
2025-12-02,23.066336,23.066336
2025-12-03,23.734444,23.734444
2025-12-04,23.716063,23.716063
2025-12-05,24.819116,24.819116
2025-12-06,23.670048,23.670048
2025-12-07,24.00714,24.00714
2025-12-08,23.855298,23.855298
2025-12-09,27.719964,27.719964
2025-12-10,27.611263,27.611263
2025-12-11,28.490604,28.490604
2025-12-12,31.53412,31.53412
2025-12-13,32.08049,32.08049
2025-12-14,32.067976,32.067976
2025-12-15,31.419668,31.419668
2025-12-16,31.411811,31.411811
2025-12-17,31.491387,31.491387
2025-12-18,32.339985,32.339985
2025-12-19,32.115086,32.115086
2025-12-20,32.072632,32.072632
2025-12-21,32.067452,32.067452
2025-12-22,30.194598,30.194598
2025-12-23,31.534551,31.534551
2025-12-24,32.066148,32.066148
2025-12-25,31.5459,31.5459
2025-12-26,33.337235,33.337235
2025-12-27,31.504925,31.504925
2025-12-28,32.842469,32.842469
2025-12-29,31.091132,31.091132
2025-12-30,32.974335,32.974335
2025-12-31,31.735877,31.735877
