Date,Biomass,Cross border electricity trading,Fossil brown coal / lignite,Fossil coal-derived gas,Fossil gas,Fossil hard coal,Fossil oil,Fossil oil shale,Fossil peat,Geothermal,Hydro Run-of-River,Hydro pumped storage,Hydro pumped storage consumption,Hydro water reservoir,Load,Nuclear,Other renewables,Others,Renewable share of generation,Renewable share of load,Residual load,Solar,Waste,Wind offshore,Wind onshore
2020-06-01,6391.193402777778,2991.6475694444443,17612.423194444444,891.3791666666667,34258.11833333333,6266.692777777777,885.6170833333333,213.70208333333332,186.46972222222223,642.2694444444444,12899.094513888887,2085.9227083333335,-3075.639583333333,16299.84638888889,157437.67006944443,35145.043958333335,512.260138888889,4083.3002083333336,57.85527777777778,54.283750000000005,126499.5632638889,12012.909791666667,2105.6080555555554,3947.5236805555555,14977.67326388889
2020-07-01,6341.4803148593,3135.0022849462366,18296.50053763441,891.5532258064517,41042.66794640814,6754.213130576528,914.141715282544,197.93158602150538,67.37553763440862,646.552688172043,11048.031448753145,2028.2565288263556,-3106.5783602150536,14181.133064516129,164289.29858870967,36993.133660775566,510.19193548387096,3937.500251658659,53.9238260695493,52.63165322580645,131836.0117607527,12512.971303763441,2561.056048387097,3930.0573924731184,16010.257930107527
2020-08-01,5764.269556451613,4314.298991935483,20939.444758064514,1136.20188172043,40545.12889784946,7452.298521505376,1000.177688172043,465.2091397849462,207.82983870967743,653.1092741935485,9582.361424731183,2018.7145161290323,-3457.8985215053767,14939.473655913978,163840.68010752686,36483.260887096774,495.79502688172045,3624.1236559139784,50.52909946236559,45.182258064516134,134071.7693548387,11296.470833333333,2682.7415322580646,4146.3011424731185,14327.32627688172
2020-09-01,5739.952152777778,3782.3393055555557,22009.522083333333,1173.0593055555555,40102.067291666666,10250.236736111112,1075.6204166666666,365.02708333333334,322.69874999999996,656.2029166666667,9349.124375000001,2200.485347222222,-3438.9733333333334,12858.742083333334,168684.1207638889,37664.59111111111,508.96458333333334,3678.0577083333333,51.82729166666666,47.87236111111111,136501.9898611111,9597.574027777777,2594.27125,4943.956736111111,17640.597916666666
2020-10-01,6279.981922043011,4259.003225806452,24096.819758064514,884.8677419354839,34374.22708333333,9543.232997311827,853.8778897849463,309.6530913978495,570.4306451612903,670.5454301075268,11243.87681451613,2167.7540322580644,-3855.0647849462366,15126.896370967741,179294.02224462366,42483.53434139785,525.402688172043,3750.6832661290323,55.63198924731183,48.7698252688172,141243.48635752688,5600.195967741935,2603.258198924731,7393.277352150538,25057.060147849465
2020-11-01,7002.295833333334,2867.3932638888887,26102.709305555556,1033.236111111111,41241.69930555556,11940.672222222223,954.8452083333334,315.82472222222225,575.5730555555555,675.1366666666667,10085.208958333333,2280.6306944444445,-3423.2854166666666,17504.699722222223,188895.2525783097,45975.91409722222,523.5109722222222,3752.555625,53.59104166666667,46.87120715130024,155442.80016252954,3776.082847222222,2570.836527777778,6659.263611111111,23000.49548611111
2020-12-01,7480.579502688172,2479.975873655914,24260.65564516129,993.6440860215054,42813.83662634409,12158.745497311827,996.3150537634408,337.58239247311826,580.9862903225807,667.605241935484,10351.949596774193,2447.6653225806454,-4273.351747311828,19504.27822580645,196183.96706989247,49242.15288978494,532.3783602150538,4096.108400537634,52.658534946236564,47.22977150537635,160310.24092741936,2306.958938172043,2706.6086021505375,6840.983467741935,26735.73064516129
2021-01-01,7349.5325268817205,3515.202620967742,27263.52311827957,779.0466397849461,45289.26438172043,14919.38817204301,1141.9251344086022,474.1185483870967,700.5068548387097,655.4819892473118,11193.017674731183,2406.136021505376,-4065.4888440860213,23677.60309139785,209197.25409946236,51413.88514784946,522.320564516129,4111.969556451612,47.66001344086021,42.24166666666667,174666.90383064517,2648.5660618279567,2616.509139784946,6348.318548387097,25541.94489247312
2021-02-01,7408.884598214286,3373.588988095238,24053.264880952378,601.5157738095238,38283.322023809524,12083.239583333332,1093.552306547619,576.0995535714286,782.8364583333333,667.9061011904762,13041.021949404761,2557.953348214286,-4447.868303571428,24896.83794642857,205398.3177083333,48426.450892857145,518.4770833333333,4056.7745535714284,61.07552083333333,51.82090773809524,164053.2275297619,5194.719419642858,2436.207886904762,7745.880208333334,28404.489136904762
2021-03-01,7602.172647849462,2886.6680779569892,22501.053225806452,599.3737903225807,38954.74448924731,10490.235013440859,997.6855510752688,186.67540322580646,516.2096774193549,669.5649193548387,10915.223924731183,2021.6613575268816,-3590.443413978495,18806.136559139788,193233.23021762754,46205.97916666667,528.2016129032259,4163.767069892473,58.78393817204301,51.580546499656826,152906.82004404027,8830.443749999999,2643.3669354838707,6114.093615591399,25370.01444892473
