Date,JKM(USD/mmbtu),HH(USD/mmbtu),TTF(USD/mmbtu)
2019-04-01,5.045714310237339,2.603095213572184,4.919939882835874
2019-05-01,5.173636306415904,2.592409068887884,4.36895955330197
2019-06-01,4.582749962806702,2.3303499937057497,3.586828142072895
2019-07-01,4.534772764552724,2.303090897473422,3.629799059596731
2019-08-01,4.471590930765325,2.174272721463984,3.6787105253336008
2019-09-01,5.264249992370606,2.5195500016212464,4.2277733293636155
2019-10-01,6.206956531690515,2.3392608580381973,5.054590073368639
2019-11-01,6.00825002193451,2.6314499974250793,5.15599054796498
2019-12-01,5.490238144284203,2.2882381053197953,4.619157068626258
2020-01-01,4.631190527053106,2.029952355793544,3.6450178951957986
2020-02-01,3.2855263132798043,1.8434210451025712,2.905645438857498
2020-03-01,3.1443182013251563,1.7311818112026562,2.723465747676327
2020-04-01,2.456428578921727,1.7593333437329246,2.1218044662740434
2020-05-01,2.077749991416931,1.8091500103473663,1.576044784537897
2020-06-01,2.1442272663116455,1.7008636322888462,1.7526054010606649
2020-07-01,2.391772736202587,1.7649545452811501,1.7906302851322502
2020-08-01,3.457761900765555,2.343476204645066,2.862465096398217
2020-09-01,4.6284761655898325,2.2802381004605974,3.9550337110080966
2020-10-01,5.971636403690685,2.83622728694569,4.890174141142417
2020-11-01,6.796700048446655,2.8719499707221985,4.832076923880029
2020-12-01,9.460590947758067,2.584272709759799,5.856306804255382
2021-01-01,13.332315846493369,2.648736840800235,7.298044422562157
2021-02-01,7.356000072077701,2.916999992571379,6.173551748457121
2021-03-01,6.386608725008757,2.622043454128763,6.130931018873279
2021-04-01,7.8012857891264415,2.6850952420915877,7.156228344299659
2021-05-01,9.624849987030029,2.959499990940094,8.900466148179513
2021-06-01,11.583363576368852,3.2724090814590454,10.30148031605863
2021-07-01,13.772047678629557,3.815047650110154,12.48223095199557
2021-08-01,16.35727275501598,4.031454519792036,15.42546042307788
2021-09-01,23.35090446472168,5.114857128688267,23.039328097134206
2021-10-01,33.22495278858003,5.570619015466599,31.050041700576198
2021-11-01,33.63390513828823,5.120238099779401,27.448248526709737
2021-12-01,37.84181811592796,3.863818190314553,38.09338011547406
2022-01-01,28.52974977493286,4.2554499983787535,28.396112612932598
2022-02-01,25.819210654810856,4.4630000214827685,27.377783071140332
2022-03-01,36.960869664731234,4.979304334391719,42.38797318934461
2022-04-01,29.222000217437746,6.70460000038147,32.225655785089096
2022-05-01,22.69728606087821,8.163476194654192,29.217470497284268
2022-06-01,29.72142882574172,7.597904772985549,33.35020833983445
2022-07-01,39.35680027008057,7.186950016021728,51.446295129447265
2022-08-01,53.216000100840695,8.77947819751242,69.92171728633524
2022-09-01,46.989190419514976,7.757523854573567,58.555619651419335
2022-10-01,32.975428444998606,6.084904738834926,39.040409535807996
2022-11-01,28.374142783028738,6.42976188659668,35.59703969199391
2022-12-01,32.33966682070778,5.768047582535517,35.9837276867796
2023-01-01,24.341100120544432,3.42279999256134,20.098845219389176
