Date,Av_storage(bcm)
2019-11-02,104.79349523809523
2019-11-03,104.9222
2019-11-04,104.96870476190476
2019-11-05,104.95465714285713
2019-11-06,104.92155238095239
2019-11-07,104.89898095238095
2019-11-08,104.81942857142857
2019-11-09,104.81561904761905
2019-11-10,104.79154285714287
2019-11-11,104.6542857142857
2019-11-12,104.47469523809525
2019-11-13,104.27357142857143
2019-11-14,104.04892380952381
2019-11-15,103.89628571428572
2019-11-16,103.75834285714286
2019-11-17,103.6508380952381
2019-11-18,103.40466666666667
2019-11-19,103.06022857142857
2019-11-20,102.60301904761904
2019-11-21,102.22045714285716
2019-11-22,101.99460952380953
2019-11-23,101.97303809523808
2019-11-24,101.96560952380952
2019-11-25,101.82052380952382
2019-11-26,101.74713333333334
2019-11-27,101.6907142857143
2019-11-28,101.65610476190477
2019-11-29,101.59940952380951
2019-11-30,101.32476190476191
2019-12-01,101.36139047619046
2019-12-02,100.99908571428571
2019-12-03,100.66011428571429
2019-12-04,100.26582857142856
2019-12-05,99.8412
2019-12-06,99.5494
2019-12-07,99.40743809523809
2019-12-08,99.39096190476191
2019-12-09,99.10116190476191
2019-12-10,98.72601904761905
2019-12-11,98.27907619047619
2019-12-12,97.80799047619047
2019-12-13,97.44361904761905
2019-12-14,97.28295238095238
2019-12-15,97.16180952380952
2019-12-16,96.8884380952381
2019-12-17,96.65605714285714
2019-12-18,96.46093333333333
2019-12-19,96.38762857142858
2019-12-20,96.3272
2019-12-21,96.35702857142857
2019-12-22,96.39073333333333
2019-12-23,96.3872380952381
2019-12-24,96.39182857142858
2019-12-25,96.40045714285714
2019-12-26,96.35724761904761
2019-12-27,96.19359999999999
2019-12-28,95.99819047619047
2019-12-29,95.75460000000001
2019-12-30,95.42742857142858
2019-12-31,95.1275619047619
2020-01-01,94.75669523809523
2020-01-02,94.24985714285715
2020-01-03,93.82175238095239
2020-01-04,93.41966666666667
2020-01-05,92.99462857142856
2020-01-06,92.43238095238095
2020-01-07,91.827
2020-01-08,91.25653333333332
2020-01-09,90.71782857142857
2020-01-10,90.2590380952381
2020-01-11,89.79667619047619
2020-01-12,89.34774285714286
2020-01-13,88.80735238095238
2020-01-14,88.24069523809524
2020-01-15,87.67234285714287
2020-01-16,87.08206666666668
2020-01-17,86.48250476190476
2020-01-18,85.8855619047619
2020-01-19,85.23134285714285
2020-01-20,84.49635238095237
2020-01-21,83.66990476190476
2020-01-22,82.85327619047618
2020-01-23,82.05382857142857
2020-01-24,81.2576380952381
2020-01-25,80.6020380952381
2020-01-26,80.04047619047618
2020-01-27,79.38351428571428
2020-01-28,78.59887619047619
2020-01-29,77.9102761904762
2020-01-30,77.38687619047619
2020-01-31,76.91351428571429
2020-02-01,76.71874285714286
2020-02-02,76.50658095238096
2020-02-03,76.10995238095238
2020-02-04,75.62292380952381
2020-02-05,75.02912380952381
2020-02-06,74.34904761904761
2020-02-07,73.7968380952381
2020-02-08,73.36671428571428
2020-02-09,73.05919047619048
2020-02-10,72.69328571428571
2020-02-11,72.1922380952381
2020-02-12,71.65689523809523
2020-02-13,71.08879047619048
2020-02-14,70.62326666666667
2020-02-15,70.40907619047618
2020-02-16,70.25037142857143
2020-02-17,69.91087619047619
2020-02-18,69.50460952380952
2020-02-19,69.05338095238096
2020-02-20,68.67823809523809
2020-02-21,68.28626666666666
2020-02-22,68.0552
2020-02-23,67.8756380952381
2020-02-24,67.55203809523809
2020-02-25,67.2135619047619
2020-02-26,66.6602761904762
2020-02-27,66.07221904761904
2020-02-28,65.58518095238095
2020-02-29,65.35755238095237
2020-03-01,65.17701904761904
2020-03-02,64.7105619047619
2020-03-03,64.25429523809524
2020-03-04,63.75785714285714
2020-03-05,63.29148571428571
2020-03-06,62.90307619047619
2020-03-07,62.706
2020-03-08,62.548990476190475
2020-03-09,62.18324761904761
2020-03-10,61.92438095238096
2020-03-11,61.768752380952385
2020-03-12,61.63113333333333
2020-03-13,61.379533333333335
2020-03-14,61.22297142857143
2020-03-15,61.1692380952381
2020-03-16,60.982323809523805
2020-03-17,60.852504761904754
2020-03-18,60.74610476190477
2020-03-19,60.638533333333335
2020-03-20,60.58231428571428
2020-03-21,60.63544761904762
2020-03-22,60.54547619047619
2020-03-23,60.283638095238096
2020-03-24,60.02943809523809
2020-03-25,59.745485714285714
2020-03-26,59.48299047619048
2020-03-27,59.340847619047615
2020-03-28,59.308028571428565
2020-03-29,59.20016190476191
2020-03-30,58.99043809523809
2020-03-31,58.64820952380952
2020-04-01,58.75035238095238
2020-04-02,58.74774285714286
2020-04-03,58.75296190476191
2020-04-04,58.91914285714285
2020-04-05,59.15792380952381
2020-04-06,59.36994285714286
2020-04-07,59.606114285714284
2020-04-08,59.897619047619045
2020-04-09,60.245057142857135
2020-04-10,60.618495238095235
2020-04-11,61.03022857142857
2020-04-12,61.52041904761904
2020-04-13,61.81637142857143
2020-04-14,62.10407619047619
2020-04-15,62.331723809523815
2020-04-16,62.63923809523809
2020-04-17,62.969752380952386
2020-04-18,63.38302857142857
2020-04-19,63.80957142857143
2020-04-20,64.10278095238095
2020-04-21,64.46864761904762
2020-04-22,64.19632380952382
2020-04-23,65.17400952380952
2020-04-24,65.55877142857143
2020-04-25,65.96186666666667
2020-04-26,66.34297142857142
2020-04-27,66.66069523809524
2020-04-28,66.9426380952381
2020-04-29,67.27980952380952
2020-04-30,67.61235238095239
2020-05-01,68.21527619047619
2020-05-02,68.60359047619048
2020-05-03,68.98421904761905
2020-05-04,69.33029523809525
2020-05-05,69.64318095238096
2020-05-06,69.95436190476191
2020-05-07,70.30815238095238
2020-05-08,70.75162857142857
2020-05-09,71.28145714285714
2020-05-10,71.72606666666667
2020-05-11,72.07910476190476
