Date,Battery,Battery Consumption,Biomass,Cross border electricity trading,Fossil brown coal / lignite,Fossil coal-derived gas,Fossil gas,Fossil hard coal,Fossil oil,Fossil oil shale,Fossil peat,Geothermal,Hydro Run-of-River,Hydro pumped storage,Hydro pumped storage consumption,Hydro water reservoir,Load,Nuclear,Other renewables,Others,Renewable share of generation,Renewable share of load,Residual load,Solar,Waste,Wind offshore,Wind onshore
2023-10-21,,,7438.854166666667,1474.6541666666665,14209.85,1102.0541666666666,12391.245833333334,5925.16875,639.99375,62.44166666666666,171.33333333333334,643.525,18512.054166666665,4781.1125,-7503.870833333333,13352.5625,127197.53749999999,63062.512500000004,436.29583333333335,3120.2666666666664,61.300000000000004,45.481249999999996,81932.52083333333,16613.024999999998,2653.2083333333335,11222.245833333334,31347.385416666668
2023-10-22,,,7527.775000000001,3115.2000000000003,16622.195833333335,1075.6583333333333,12222.5625,6047.150000000001,663.7354166666667,75.64166666666667,199.02916666666667,645.4125,16726.05,3884.5875,-6412.2,15366.183333333334,120392.37291666667,67409.67083333334,435.25,2787.1395833333336,43.61041666666667,32.40416666666667,87835.95416666666,14536.708333333334,2689.5625,8062.654166666667,21256.7375
2023-10-23,,,7880.325,4576.329166666667,25368.149999999998,1035.3416666666667,25569.243749999998,10013.977083333333,696.9354166666667,257.4458333333333,259.8125,640.1875,17291.225000000002,6977.549999999999,-2074.883333333333,18083.995833333334,143140.54374999998,69299.88333333333,434.12083333333334,3287.94375,83.31041666666667,70.62291666666667,120404.93958333333,14934.237500000001,2699.7916666666665,3399.275,13568.839583333334
2023-10-24,,,7940.037499999999,3569.0916666666667,25741.604166666668,1083.4375,22655.472916666666,9750.360416666666,810.7041666666668,276.52916666666664,421.7791666666667,632.7541666666667,18309.370833333334,4584.795833333334,-4432.695833333333,16128.6875,147241.38749999998,68998.48333333334,442.1041666666667,3543.4208333333336,69.075,50.791666666666664,113656.27291666665,11424.233333333332,2820.008333333333,9806.862500000001,22969.57083333333
2023-10-25,,,7964.083333333333,4943.322916666667,24467.041666666668,1069.2124999999999,20779.118749999998,10381.889583333334,702.88125,222.59583333333333,442.77500000000003,641.7708333333334,19902.087499999998,4602.883333333333,-5121.3875,15340.941666666666,148212.17500000002,68731.15000000001,438.49583333333334,3178.35,62.0,43.55416666666667,110193.10833333334,11072.116666666667,2664.475,6827.345833333333,29069.322916666668
2023-10-26,,,8097.525000000001,3806.129166666667,24964.587499999998,1037.4708333333333,21070.868749999998,11043.65,686.6479166666667,221.9375,428.8041666666666,626.2958333333333,20520.591666666667,5208.695833333333,-4047.079166666667,16872.8,148385.23333333334,68543.77500000001,448.5,3052.3145833333333,56.177083333333336,40.479166666666664,115617.49166666665,8736.5375,2650.420833333333,6821.091666666667,24988.92916666667
2023-10-27,,,8047.575,6040.364583333333,25396.45,1034.7791666666667,16609.443750000002,10044.029166666667,691.5895833333334,301.5833333333333,495.6958333333334,629.5833333333334,22179.095833333336,5674.712500000001,-4333.650000000001,18277.670833333334,152939.63695652175,69528.45833333333,449.8,3107.508333333333,61.99791666666667,44.560869565217395,116296.18913043478,11214.141666666668,2745.066666666667,7930.900000000001,25547.81041666667
2023-10-28,,,7760.770833333333,4646.58125,16271.641666666668,778.0875,10517.627659574468,6388.995744680851,617.8425531914893,236.63750000000002,462.7083333333333,646.0333333333333,21432.533333333333,4555.108333333334,-7125.295833333334,17150.066666666666,131380.08297872343,64572.166666666664,445.17083333333335,3202.4723404255324,78.40425531914893,61.361702127659576,89176.32553191489,14359.279166666667,2791.754166666667,11456.995833333334,29020.968085106382
2023-10-29,,,7378.704166666666,-155.41875000000007,11064.199999999999,795.8958333333334,9921.933333333332,5504.04,636.9244444444444,221.4625,416.9916666666666,636.5,20369.920833333334,4151.241666666667,-8907.8375,16088.85,128158.40000000001,59531.25833333333,440.93333333333334,3717.1355555555556,75.91555555555556,61.74318181818182,77918.39347826087,12265.666666666666,2475.2625000000003,13102.158333333333,37831.64666666667
2023-10-30,,,7843.841666666667,3229.785416666667,19983.558333333334,1218.125,15929.022916666667,8152.974999999999,696.9625,223.47916666666666,504.58750000000003,634.725,21915.3625,8131.45,-4528.525000000001,18872.0625,146466.48297872342,66094.925,437.5541666666666,3281.464583333333,78.45625,62.97446808510639,106548.80638297873,13375.0,2839.9249999999997,8048.729166666667,28377.1875
