Date,JKM(USD/mmbtu),HH(USD/mmbtu),TTF(USD/mmbtu)
2023-12-18,12.395000457763672,2.503000020980835,11.3429532857009
2023-12-19,11.774999618530273,2.492000102996826,10.42694124495228
2023-12-20,11.8100004196167,2.447000026702881,10.788266139099484
2023-12-21,11.9350004196167,2.572000026702881,10.97233489878662
2023-12-22,11.944999694824219,2.609999895095825,11.02360487402434
2023-12-25,,,
2023-12-26,11.944999694824219,2.549999952316284,11.037696220711634
2023-12-27,11.869999885559082,2.61899995803833,11.493859777180061
2023-12-28,11.725000381469727,2.556999921798706,10.778183334013542
2023-12-29,11.520000457763672,2.5139999389648438,10.494020488055162
2024-01-01,,,
2024-01-02,11.494999885559082,2.568000078201294,9.89087155090149
2024-01-03,11.5,2.6679999828338623,10.516849343217038
2024-01-04,11.555000305175781,2.821000099182129,10.700372771991995
2024-01-05,11.5649995803833,2.8929998874664307,11.085672960720062
2024-01-08,11.479999542236328,2.9800000190734863,10.127661720099821
2024-01-09,11.300000190734863,3.190000057220459,9.835027180373036
2024-01-10,11.28499984741211,3.0390000343322754,9.914159821960977
2024-01-11,11.244999885559082,3.0969998836517334,9.912688458027796
2024-01-12,11.199999809265137,3.312999963760376,10.296422325439059
2024-01-15,,,
2024-01-16,10.024999618530273,2.9000000953674316,9.513655927401553
2024-01-17,9.550000190734863,2.869999885559082,8.834393299442874
2024-01-18,9.555000305175781,2.697000026702881,8.899089119122282
2024-01-19,9.585000038146973,2.5190000534057617,9.064571488545413
2024-01-22,9.404999732971191,2.4189999103546143,8.703622085209412
2024-01-23,9.335000038146973,2.450000047683716,8.68216436959746
2024-01-24,9.574999809265137,2.6410000324249268,9.205968863587074
2024-01-25,9.390000343322754,2.571000099182129,8.861034475116552
2024-01-26,9.289999961853027,2.7119998931884766,8.926559797838033
2024-01-29,9.390000343322754,2.490000009536743,8.95384723405212
2024-01-30,9.479999542236328,2.0769999027252197,9.33282370718186
2024-01-31,9.529999732971191,2.0999999046325684,9.608739696829872
2024-02-01,9.460000038146973,2.049999952316284,9.179848686968212
2024-02-02,9.460000038146973,2.0789999961853027,9.339703899298707
2024-02-05,9.454999923706055,2.0820000171661377,8.954197287433784
2024-02-06,9.470000267028809,2.009000062942505,9.006200616182053
2024-02-07,9.449999809265137,1.9670000076293945,8.886355061512072
2024-02-08,9.449999809265137,1.9170000553131104,8.783559604054874
2024-02-09,9.4350004196167,1.847000002861023,8.565264892433376
2024-02-12,9.4350004196167,1.7680000066757202,8.142642427381778
2024-02-13,9.404999732971191,1.6890000104904175,8.030577845121634
2024-02-14,9.364999771118164,1.6089999675750732,7.80163888158823
2024-02-15,9.347000122070312,1.5809999704360962,7.852836900982364
2024-02-16,8.569999694824219,1.6089999675750732,7.837908683561431
2024-02-19,,,
2024-02-20,8.369999885559082,1.5759999752044678,7.6324672493396655
2024-02-21,8.295000076293945,1.7730000019073486,7.598677343032614
2024-02-22,8.154999732971191,1.7319999933242798,7.355147059262159
2024-02-23,8.125,1.6030000448226929,7.276553925098618
2024-02-26,8.300000190734863,1.659000039100647,7.613675944981568
2024-02-27,8.220000267028809,1.6150000095367432,7.757206680263011
2024-02-28,8.494999885559082,1.8849999904632568,8.142825689759448
2024-02-29,8.369999885559082,1.8600000143051147,7.898803091585402
2024-03-01,8.300000190734863,1.8350000381469727,8.173079651807411
2024-03-04,8.34000015258789,1.9160000085830688,8.543547240846365
2024-03-05,8.380000114440918,1.9570000171661377,8.738857779788905
2024-03-06,8.414999961853027,1.9290000200271606,8.454440670498807
2024-03-07,8.399999618530273,1.8179999589920044,8.303072211245432
2024-03-08,8.460000038146973,1.8049999475479126,8.469994624575866
2024-03-11,8.46500015258789,1.7589999437332153,7.995541380878507
2024-03-12,8.46500015258789,1.7139999866485596,7.937403910743101
2024-03-13,8.475000381469727,1.6579999923706055,7.975797158088263
2024-03-14,8.489999771118164,1.7410000562667847,8.363853402420398
2024-03-15,8.520999908447266,1.6549999713897705,8.620601736654999
2024-03-18,9.880000114440918,1.7029999494552612,9.192779344760533
2024-03-19,9.899999618530273,1.74399995803833,9.19950495038379
2024-03-20,9.569999694824219,1.6990000009536743,8.832645247435105
2024-03-21,9.28499984741211,1.6829999685287476,8.463195532801288
2024-03-22,9.444999694824219,1.659000039100647,8.842701274606137
2024-03-25,9.71500015258789,1.6150000095367432,9.023915253031664
2024-03-26,9.574999809265137,1.5750000476837158,8.618488111310846
2024-03-27,9.399999618530273,1.718000054359436,8.790020970036787
2024-03-28,9.53499984741211,1.7630000114440918,8.664650913004335
2024-03-29,,,
2024-04-01,9.53499984741211,1.8370000123977661,
2024-04-02,9.46500015258789,1.8619999885559082,8.245817847774903
2024-04-03,9.5,1.840999960899353,8.067892361739794
