Date,Storage(TWh)
2021-01-04,805.1843
2021-01-05,795.9524
2021-01-06,787.1214
2021-01-07,777.2378
2021-01-08,767.2417
2021-01-09,758.4266
2021-01-10,749.8406
2021-01-11,739.7254
2021-01-12,729.9468
2021-01-13,720.5865
2021-01-14,710.5084
2021-01-15,699.7224
2021-01-16,690.1831
2021-01-17,681.0721
2021-01-18,670.6721
2021-01-19,661.575
2021-01-20,654.1584
2021-01-21,647.7463
2021-01-22,641.0833
2021-01-23,634.9859
2021-01-24,628.6504
2021-01-25,619.7549
2021-01-26,611.0161
2021-01-27,602.1993
2021-01-28,594.8405
2021-01-29,588.6843
2021-01-30,582.9579
2021-01-31,576.4815
2021-02-01,568.9971
2021-02-02,562.3215
2021-02-03,557.068
2021-02-04,551.3046
2021-02-05,545.9073
2021-02-06,541.4256
2021-02-07,535.4559
2021-02-08,526.163
2021-02-09,516.1888
2021-02-10,506.0321
2021-02-11,495.9929
2021-02-12,485.7231
2021-02-13,476.087
2021-02-14,467.4391
2021-02-15,458.5666
2021-02-16,451.8461
2021-02-17,446.5736
2021-02-18,441.5959
2021-02-19,436.827
2021-02-20,433.9129
2021-02-21,431.7064
2021-02-22,427.6689
2021-02-23,424.4579
2021-02-24,422.3406
2021-02-25,419.5405
2021-02-26,416.8013
2021-02-27,414.5626
2021-02-28,411.8842
2021-03-01,407.9084
2021-03-02,404.2351
2021-03-03,400.5674
2021-03-04,396.3385
2021-03-05,391.7639
2021-03-06,388.2186
2021-03-07,384.5949
2021-03-08,379.5061
2021-03-09,374.4717
2021-03-10,370.8154
2021-03-11,368.575
2021-03-12,366.7949
2021-03-13,365.5924
2021-03-14,364.0853
2021-03-15,361.7185
2021-03-16,358.5754
2021-03-17,355.1749
2021-03-18,351.0523
2021-03-19,347.37
2021-03-20,344.8344
2021-03-21,343.022
2021-03-22,339.5541
2021-03-23,336.8219
2021-03-24,334.927
2021-03-25,333.7216
2021-03-26,333.9284
2021-03-27,334.3579
2021-03-28,334.9525
2021-03-29,335.1305
2021-03-30,337.028
2021-03-31,337.9001
2021-04-01,343.0023
2021-04-02,345.0231
2021-04-03,347.2507
2021-04-04,349.4529
2021-04-05,350.3698
2021-04-06,348.4116
2021-04-07,345.25
2021-04-08,342.483
2021-04-09,340.7722
2021-04-10,340.3205
2021-04-11,340.4558
2021-04-12,337.5356
2021-04-13,334.1632
2021-04-14,331.0085
2021-04-15,328.3099
2021-04-16,326.7471
2021-04-17,326.6411
2021-04-18,327.024
2021-04-19,326.4643
2021-04-20,326.4169
2021-04-21,327.1148
2021-04-22,327.8492
2021-04-23,328.7841
2021-04-24,331.4765
2021-04-25,334.1302
2021-04-26,335.1666
2021-04-27,336.0143
2021-04-28,337.1018
2021-04-29,338.1295
2021-04-30,336.0534
2021-05-01,338.4377
2021-05-02,340.8527
2021-05-03,341.9475
2021-05-04,343.3034
2021-05-05,343.6199
2021-05-06,343.5909
2021-05-07,344.1167
2021-05-08,347.263
2021-05-09,351.8024
2021-05-10,355.9459
2021-05-11,359.4331
2021-05-12,362.6226
2021-05-13,366.3428
2021-05-14,369.782
2021-05-15,373.4829
2021-05-16,377.2896
2021-05-17,379.6248
2021-05-18,381.2107
2021-05-19,383.0195
2021-05-20,385.8929
2021-05-21,389.3853
2021-05-22,393.3714
2021-05-23,397.5584
2021-05-24,401.1457
2021-05-25,403.7628
2021-05-26,405.8979
2021-05-27,407.6938
2021-05-28,410.4953
2021-05-29,415.0799
2021-05-30,419.8913
2021-05-31,422.5138
2021-06-01,426.6578
2021-06-02,431.3447
2021-06-03,435.8824
2021-06-04,440.2905
2021-06-05,445.0886
2021-06-06,449.9995
2021-06-07,453.5808
2021-06-08,457.0595
2021-06-09,459.5693
2021-06-10,462.8818
2021-06-11,466.4505
2021-06-12,471.3373
2021-06-13,476.4825
2021-06-14,480.4695
2021-06-15,483.7557
2021-06-16,486.9022
2021-06-17,490.0117
2021-06-18,493.8497
2021-06-19,498.2845
2021-06-20,502.7627
2021-06-21,506.1188
2021-06-22,508.3495
2021-06-23,510.5949
2021-06-24,513.0258
2021-06-25,515.9164
2021-06-26,520.0434
2021-06-27,524.4934
2021-06-28,527.8429
2021-06-29,531.0474
2021-06-30,534.1234
2021-07-01,537.4291
2021-07-02,540.3217
2021-07-03,545.019
2021-07-04,549.9634
2021-07-05,554.1224
2021-07-06,557.1571
2021-07-07,559.7112
2021-07-08,562.2263
2021-07-09,565.4922
2021-07-10,570.0635
2021-07-11,574.7358
2021-07-12,578.0113
2021-07-13,579.8196
2021-07-14,581.7566
2021-07-15,583.5267
2021-07-16,586.208
2021-07-17,589.5373
2021-07-18,592.9821
2021-07-19,595.4542
2021-07-20,597.521
2021-07-21,599.4707
2021-07-22,601.4287
2021-07-23,605.1799
2021-07-24,609.8726
2021-07-25,614.5048
2021-07-26,618.1718
2021-07-27,621.8518
2021-07-28,625.7547
2021-07-29,629.6982
2021-07-30,633.5637
2021-07-31,637.9227
2021-08-01,641.6465
2021-08-02,645.6469
2021-08-03,649.028
2021-08-04,652.2912
2021-08-05,655.7198
2021-08-06,659.925
2021-08-07,664.3121
2021-08-08,668.6785
2021-08-09,672.1011
2021-08-10,675.7553
2021-08-11,678.9042
2021-08-12,682.309
2021-08-13,686.0707
2021-08-14,690.5919
2021-08-15,695.0051
2021-08-16,698.822
2021-08-17,702.0817
2021-08-18,705.4953
2021-08-19,708.9664
2021-08-20,712.8232
2021-08-21,716.9448
2021-08-22,721.1405
2021-08-23,724.8595
2021-08-24,728.5991
2021-08-25,732.1555
2021-08-26,735.6869
2021-08-27,739.5998
2021-08-28,743.8505
2021-08-29,748.2359
2021-08-30,751.7746
2021-08-31,753.8002
2021-09-01,758.9021
2021-09-02,761.2179
2021-09-03,763.7573
2021-09-04,767.0997
2021-09-05,770.8914
2021-09-06,773.3166
2021-09-07,775.2655
2021-09-08,777.6213
2021-09-09,780.0382
2021-09-10,782.3392
2021-09-11,785.5548
2021-09-12,788.8784
2021-09-13,790.7787
2021-09-14,792.3193
2021-09-15,793.5583
2021-09-16,794.9216
2021-09-17,797.2105
2021-09-18,800.4983
2021-09-19,803.882
2021-09-20,805.9291
2021-09-21,807.7443
2021-09-22,809.4897
2021-09-23,812.0252
2021-09-24,814.7736
2021-09-25,818.7743
2021-09-26,823.1071
2021-09-27,826.1825
2021-09-28,828.7753
2021-09-29,831.5619
2021-09-30,834.1568
2021-10-01,836.6555
2021-10-02,839.3384
2021-10-03,842.7648
2021-10-04,844.7065
2021-10-05,847.1772
2021-10-06,848.4123
2021-10-07,849.0516
2021-10-08,850.2872
2021-10-09,852.6626
2021-10-10,859.5715
2021-10-11,859.5586
2021-10-12,860.0922
2021-10-13,859.3858
2021-10-14,859.2567
2021-10-15,859.2377
2021-10-16,860.0944
2021-10-17,861.1373
2021-10-18,861.1145
2021-10-19,861.756
2021-10-20,863.1588
2021-10-21,863.3303
2021-10-22,862.6392
2021-10-23,862.3943
2021-10-24,862.579
2021-10-25,861.2098
2021-10-26,860.2264
2021-10-27,860.4956
2021-10-28,860.0409
