Date,JKM(USD/mmbtu),HH(USD/mmbtu),TTF(USD/mmbtu),USD-EUR_FX,VIX,EU+UK Fossil gas,EU+UK Fossil oil,EU+UK Coal,EU+UK Hydro_gen,EU+UK Nuclear,EU+UK Others,EU+UK Residual load,EU+UK Production(bcm),EU+UK Electricity(bcm),EU+UK Total(bcm),EU+UK Non_power(bcm),EU+UK Stock_change(bcm),EU+UK Distribution_loss(bcm),EU+UK Total_adj(bcm),EU+UK Net_piped(bcm),EU+UK LNG_sendout(bcm),EU+UK Net_supply,EU+UK_av_storage(bcm),EU+UK Calc_storage_change,EU+UK Act_storage_change,EU+UK Diff_storage_changes,Norway_gas_prod,Norway_supply_red,Norway_planned_outage,Norway_unplanned_outage,Europe_HDD,Europe_CDD,EU_wind_speed,US_GWDD,NE_Asia_GWDD,EU_solar,Nordic_precip,Atlantic_ACE,Gulf_storm_days,EU_wind_speed_anomaly,US_GWDD_anomaly,NE_Asia_GWDD_anomaly,EU_solar_anomaly,Nordic_precip_anomaly,Atlantic_ACE_anomaly,Global LNG nameplate capacity,Global LNG capacity offline,CH+JP+KR LNG imports,EU+UK LNG imports,EG LNG imports,IN LNG imports,QA+AU+US LNG exports,ID+MY+BN LNG exports,NG LNG exports
2017-02-01,7.86,2.9067368507385254,6.102717567457964,1.0650880992412568,11.530526361967388,38055.44380699088,2287.3038658814585,62032.63310062056,23020.491976950354,53867.1603106003,26876.09883643617,175081.49367559524,11.161,9.1267,50.2401,41.1134,-11.1725,0.374,50.51117951320125,28.32133333333333,3.860599283154121,42.96893261648745,43.14449523809524,-7.542246896713799,-12.15166666666667,-4.609419769952872,362.3,2.8,6.8,3.1,996.4,0.0,10.402,21.353,13.63,7.541,85.95,0.0,0,0.131,-5.894,0.018,-0.559,-19.621,0.0,357.47,24.7,19360.0,4335.0,651,2220.88,17959.0,5404.07999999999,2397
2017-03-01,7.86,2.9924347504325537,4.949206575911566,1.0687780276588772,11.897826111834982,34208.87649416112,2111.4927198656164,51392.362314861784,25230.878444080547,51341.4468690629,24216.681121621754,161399.0839095745,11.526,8.4434,44.3799,35.9365,-3.7157,0.3698,44.61587313841621,29.05576190476191,4.681295238095238,44.89325714285715,30.992828571428568,0.2773840044409397,-3.0235238095238053,-3.300907813964745,358.5,6.5,19.9,3.5,814.2,0.0,8.614,20.472,9.801,12.626,132.94,0.0,0,-0.37,0.489,0.97,0.174,33.511,0.0,357.47,24.7,19177.0,4388.0,762,1937.09,18292.0,5466.1799999999985,2843
2017-04-01,7.86,3.189473691739534,5.036432968773568,1.0713409781455994,13.136315847698013,30961.633677600472,1821.3362884160758,46380.98732269504,21070.603216607567,48172.44272015367,23320.20104609929,147388.465625,11.394,7.751899999999999,36.876599999999996,29.124699999999997,4.676699999999999,0.3735,37.073465906650334,28.030761904761906,4.804409523809524,43.85567142857143,27.969304761904763,6.7822055219210995,4.82085714285714,-1.9613483790639599,353.3,11.8,34.8,7.4,668.2,0.0,8.12,10.476,4.129,18.278,136.31,0.81,0,0.128,-2.373,-0.301,0.438,56.032,0.729,357.47,24.7,15323.0,4633.0,684,2159.97,18017.0,4505.700000000001,3046
2017-05-01,5.502000045776367,3.235636364329945,5.064423365572663,1.1041413752929023,10.862272782759232,28088.12331989247,1983.8200268817204,47384.54086021506,23946.245295698925,45268.30557795699,22202.494489247314,146028.15507749942,10.722999999999999,7.264899999999999,30.131,22.8661,9.9937,0.3588,30.29155043559339,27.851666666666663,4.8601142857142845,43.075980952380945,32.7901619047619,12.784430516787555,10.344076190476194,-2.440354326311361,295.1,70.0,223.7,26.8,280.0,1.2000000000000028,7.404,8.525,3.288,21.273,59.79,0.0,0,0.014,0.56,0.03,0.15,-18.712,-0.829,357.47,24.7,15288.0,4977.0,733,1905.92,19841.0,3873.6599999999894,3096
2017-06-01,5.479999932375821,2.993590918454257,4.982472121887061,1.122866240414706,10.513636328957295,28926.08804315705,2053.31663371107,45427.80835260561,23066.78059885394,45370.39459451126,21177.82179052318,144813.97347222222,9.798,7.4588,26.098300000000002,18.639499999999998,10.681899999999999,0.3342,26.239928788652996,25.456047619047617,4.216466666666666,39.136314285714285,43.134238095238096,12.896385497061289,11.380495238095243,-1.5158902589660457,288.2,76.9,244.1,31.1,63.89999999999999,85.4,8.045,8.409,5.496,22.81,132.65,2.972,3,1.107,-0.397,-0.387,-0.441,30.494,0.022,357.47,24.7,17244.0,4344.0,809,1765.84,19766.0,5790.48,2750
2017-07-01,5.555749988555908,2.9551499843597413,5.09852052258998,1.1520630478858949,10.264499998092653,31876.92975434683,2030.6134394303363,47714.59791237703,22077.22024136353,44482.21802648135,20750.20871511096,147406.77815860216,10.136,8.2929,27.3014,19.0085,12.453100000000001,0.3379,27.45071371164911,27.54957142857143,5.134971428571428,42.48264285714286,54.51473333333334,15.031929145493745,13.163180952380955,-1.8687481931127898,341.5,23.6,69.6,15.0,49.6,128.6,6.952,11.106,9.438,21.562,138.82,1.625,1,-0.142,-1.084,0.577,-1.653,3.922,-8.577,357.47,24.7,18086.0,4940.0,905,1803.06,20589.0,5863.619999999989,3055
2017-08-01,6.002608713896378,2.9051738821941875,5.53806874570852,1.1817317423613176,11.97565215566884,29194.875061903444,2091.629471515452,47791.9780991584,21801.61787146932,47284.8530806753,18459.861571170342,145062.250672043,9.995000000000001,7.866300000000001,25.7969,17.930600000000002,14.3481,0.3477,25.936480938297052,28.015380952380955,4.581942857142857,42.24462380952381,67.6779142857143,16.308142871226757,14.268942857142846,-2.03920001408391,336.1,29.0,97.2,6.6,67.19999999999999,171.5,7.045,8.404,8.457,19.367,130.78,28.318,12,-0.103,-2.786,-0.619,-0.75,-10.662,6.707,357.47,24.7,18229.0,5051.0,982,2011.41,19858.0,5786.339999999988,2939
2017-09-01,7.045750045776368,3.00589998960495,6.0220090471166925,1.1911359344209944,10.437999963760376,31229.361510304247,1974.8808680993561,50371.802466723195,23027.65682344958,47196.24178004606,15991.485364946879,149659.84720153667,9.700000000000001,8.0899,29.394299999999998,21.304399999999998,8.0291,0.3532,29.55306517978529,26.9062380952381,3.988971428571429,40.24200952380953,81.94685714285714,10.68894434402424,6.970038095238095,-3.718906248786144,316.5,48.6,166.7,7.4,242.8,4.200000000000003,7.311,7.478,4.836,14.067,78.21,194.168,6,-0.382,-0.254,-0.639,-0.951,-52.57,120.173,357.47,24.7,16400.0,3921.0,869,2304.27,18287.0,5065.9800000000005,2630
2017-10-01,8.605909087441184,2.912590904669328,6.216795846697631,1.176206648349762,10.125454512509434,34467.15315145276,2045.5066532258065,49985.61711135896,19287.659154083736,45508.07702184855,17169.945011153053,146220.57708333334,11.175,9.6836,36.2916,26.607999999999997,4.3842,0.37860000000000005,36.48700776493501,29.809142857142856,3.3346761904761903,43.940219047619046,88.91689523809524,7.4532112826840375,4.685561904761883,-2.7676493779221545,350.0,15.1,46.3,7.6,395.6,0.0,10.858,8.602,4.107,9.377,171.07,19.32,4,1.782,-0.667,0.163,0.081,38.185,-16.028,366.37,24.7,17197.0,3821.0,700,1986.13,19810.0,5259.179999999999,3057
2017-11-01,9.427142915271578,3.058857111703782,6.716374790812891,1.172959668295724,10.540476163228352,44012.22230731581,2131.5939796278385,59663.612101526924,21871.10461885701,48942.13062884033,18977.669475156836,168800.16993055554,11.68,11.6411,51.282,39.6409,-8.463299999999998,0.4053,51.55839527850768,31.336428571428574,4.021476190476191,46.632604761904766,93.60245714285712,-4.925790516602916,-9.704161904761875,-4.778371388158959,364.8,0.3,0.9,0.2,879.9,0.0,9.644,17.751,9.399,5.574,151.09,1.662,0,0.235,0.245,1.401,0.0,43.323,-7.835,366.37,27.2,19235.0,4088.0,638,2530.49,20157.0,5532.419999999989,2826
